year,sex,hindfoot_length,weight,genus,species,taxa,plot_type
1984,M,34.0,46.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1982,M,,8.0,Perognathus,flavus,Rodent,Control
1984,M,35.0,224.0,Neotoma,albigula,Rodent,Long-term Krat Exclosure
1996,M,37.0,51.0,Dipodomys,merriami,Rodent,Control
2000,M,26.0,23.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
1978,F,37.0,37.0,Dipodomys,merriami,Rodent,Control
1999,not reported,,194.0,Neotoma,albigula,Rodent,Control
1989,M,32.0,67.0,Sigmodon,hispidus,Rodent,Long-term Krat Exclosure
2002,F,23.0,17.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1995,not reported,,,Pipilo,chlorurus,Bird,Long-term Krat Exclosure
1989,M,37.0,50.0,Dipodomys,merriami,Rodent,Spectab exclosure
1978,F,50.0,83.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1986,F,36.0,43.0,Dipodomys,merriami,Rodent,Control
1996,M,37.0,47.0,Dipodomys,merriami,Rodent,Control
1996,F,37.0,51.0,Dipodomys,ordii,Rodent,Long-term Krat Exclosure
2001,M,27.0,38.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure
2001,F,36.0,55.0,Dipodomys,merriami,Rodent,Control
1980,not reported,,,Spermophilus,spilosoma,Rodent,Rodent Exclosure
1977,M,37.0,,Dipodomys,merriami,Rodent,Control
1984,F,33.0,35.0,Dipodomys,merriami,Rodent,Control
2000,M,22.0,19.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
1987,not reported,,,Amphispiza,bilineata,Bird,Control
1978,F,48.0,123.0,Dipodomys,spectabilis,Rodent,Spectab exclosure
2000,M,20.0,13.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1997,M,22.0,23.0,Peromyscus,maniculatus,Rodent,Short-term Krat Exclosure
1977,F,50.0,,Dipodomys,spectabilis,Rodent,Spectab exclosure
1995,F,48.0,47.0,Dipodomys,merriami,Rodent,Control
1980,M,38.0,48.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1993,F,22.0,16.0,Chaetodipus,penicillatus,Rodent,Control
1980,F,14.0,10.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure
1989,F,21.0,16.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
2001,M,28.0,36.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1997,M,20.0,23.0,Peromyscus,maniculatus,Rodent,Long-term Krat Exclosure
2002,F,26.0,23.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1996,F,22.0,16.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure
2000,F,21.0,21.0,Chaetodipus,penicillatus,Rodent,Control
1983,not reported,,,Pipilo,chlorurus,Bird,Short-term Krat Exclosure
2001,F,21.0,30.0,Onychomys,torridus,Rodent,Long-term Krat Exclosure
1986,M,36.0,44.0,Dipodomys,merriami,Rodent,Control
1988,M,54.0,140.0,Dipodomys,spectabilis,Rodent,Control
1982,F,36.0,53.0,Dipodomys,merriami,Rodent,Rodent Exclosure
1984,M,36.0,42.0,Dipodomys,merriami,Rodent,Control
1982,M,36.0,37.0,Dipodomys,merriami,Rodent,Control
1991,F,21.0,24.0,Onychomys,torridus,Rodent,Control
1991,F,17.0,12.0,Reithrodontomys,megalotis,Rodent,Control
2001,M,34.0,24.0,Dipodomys,merriami,Rodent,Control
2002,M,26.0,35.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure
1985,not reported,,,Ammospermophilus,harrisi,Rodent,Short-term Krat Exclosure
1982,F,35.0,45.0,Dipodomys,merriami,Rodent,Control
1998,F,19.0,21.0,Peromyscus,maniculatus,Rodent,Long-term Krat Exclosure
1996,M,39.0,47.0,Dipodomys,merriami,Rodent,Control
1989,M,21.0,20.0,Peromyscus,eremicus,Rodent,Control
1978,F,50.0,82.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1982,M,15.0,7.0,Perognathus,flavus,Rodent,Long-term Krat Exclosure
1981,M,52.0,122.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1981,F,35.0,35.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1997,F,21.0,13.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1982,F,20.0,23.0,Peromyscus,maniculatus,Rodent,Control
2001,F,23.0,15.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1982,M,21.0,42.0,Onychomys,leucogaster,Rodent,Control
1990,M,35.0,52.0,Dipodomys,ordii,Rodent,Spectab exclosure
1989,M,37.0,48.0,Dipodomys,merriami,Rodent,Spectab exclosure
1991,F,16.0,12.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
1985,F,38.0,54.0,Dipodomys,ordii,Rodent,Rodent Exclosure
1981,M,34.0,49.0,Dipodomys,ordii,Rodent,Control
1991,M,33.0,154.0,Neotoma,albigula,Rodent,Control
1981,F,48.0,135.0,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
1984,M,37.0,42.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
1979,F,20.0,16.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1990,M,52.0,132.0,Dipodomys,spectabilis,Rodent,Control
1997,F,17.0,10.0,Reithrodontomys,megalotis,Rodent,Control
1988,M,40.0,42.0,Dipodomys,merriami,Rodent,Spectab exclosure
2002,M,23.0,17.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
1988,M,21.0,22.0,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure
1990,F,37.0,54.0,Dipodomys,ordii,Rodent,Control
1990,M,33.0,20.0,Dipodomys,merriami,Rodent,Control
1998,M,35.0,,Dipodomys,merriami,Rodent,Control
